"Season","Team","Round","rating"
2023,"Collingwood",4,2564.22287896643
2023,"Geelong",4,2495.67232200167
2023,"Melbourne",4,2483.14332442596
2023,"Brisbane",4,2459.14136615556
2023,"St Kilda",4,2453.92337281597
2023,"Sydney",4,2451.29368245507
2023,"Western Bulldogs",4,2378.78822289761
2023,"Port Adelaide",4,2377.43942615356
2023,"Carlton",4,2370.56217388826
2023,"Richmond",4,2279.21054295949
2023,"Essendon",4,2263.63682493244
2023,"Adelaide",4,2234.51966092446
2023,"Gold Coast",4,2209.4469489455
2023,"Fremantle",4,2190.43251233804
2023,"Hawthorn",4,2116.4689813116
2023,"GWS",4,2001.69978030966
2023,"North Melbourne",4,1976.58299076022
2023,"West Coast",4,1872.1308957105
